 2 1
 0.395284707521047426E-01 (0.757033499126120198E-07,0.652274178520945364E-04)
 0.398975596607251196E-01 (0.798061471053412365E-07,0.670708428210639368E-04)
 0.402666485693455034E-01 (0.840896535338070116E-07,0.689486566074101038E-04)
 0.406357374779658803E-01 (0.885600314541363178E-07,0.708611758553954563E-04)
 0.410048263865862572E-01 (0.932236099432671919E-07,0.728087178422513645E-04)
 0.413739152952066341E-01 (0.980868188358995842E-07,0.747915992712402391E-04)
 0.417430042038270180E-01 (0.103156233218404678E-06,0.768101371722105662E-04)
 0.421120931124473949E-01 (0.108438656518727191E-06,0.788646484924513844E-04)
 0.424811820210677718E-01 (0.113940955961230164E-06,0.809554500793678995E-04)
 0.428502709296881487E-01 (0.119670201992054517E-06,0.830828588158623267E-04)
 0.432193598383085326E-01 (0.125633641838875907E-06,0.852471915109071545E-04)
 0.435884487469289095E-01 (0.131838769626356224E-06,0.874487646022363633E-04)
 0.439575376555492864E-01 (0.138292958770815903E-06,0.896878956159340195E-04)
 0.443266265641696633E-01 (0.145004008690810686E-06,0.919649009900215390E-04)
 0.446957154727900471E-01 (0.151979793544448220E-06,0.942800977055992386E-04)
 0.450648043814104241E-01 (0.159228407121063291E-06,0.966338019697407866E-04)
 0.454338932900308010E-01 (0.166758154903717232E-06,0.990263305352515505E-04)
 0.458029821986511779E-01 (0.174577383742361726E-06,0.101458000332164109E-03)
 0.461720711072715617E-01 (0.182694674061494663E-06,0.103929128209610870E-03)
 0.465411600158919386E-01 (0.191118787870895163E-06,0.106440030819900022E-03)
 0.469102489245123155E-01 (0.199858729944816005E-06,0.108991024222120661E-03)
 0.472793378331326924E-01 (0.208923630238574433E-06,0.111582425600833930E-03)
 0.476484267417530763E-01 (0.218322818000328930E-06,0.114214551248262262E-03)
 0.480175156503734532E-01 (0.228065747042858022E-06,0.116887718392783718E-03)
 0.483866045589938301E-01 (0.238162202628394371E-06,0.119602242396253159E-03)
 0.487556934676142140E-01 (0.248622068667941009E-06,0.122358440353509905E-03)
 0.491247823762345909E-01 (0.259455296843250844E-06,0.125156628911194978E-03)
 0.494938712848549678E-01 (0.270672451078414312E-06,0.127997124252859278E-03)
 0.498629601934753447E-01 (0.282283881581326924E-06,0.130880243000727037E-03)
 0.502320491020957216E-01 (0.294300287857096033E-06,0.133806301515990194E-03)
