31.7306 7.41364e-22
33.2722 4.55104e-22
34.9152 3.11554e-22
36.607 2.50965e-22
38.3802 2.19062e-22
40.281 1.91547e-22
42.9017 1.67232e-22
45.7397 1.46004e-22
49.5386 1.27665e-22
52.769 1.11457e-22
56.2596 9.73087e-23
59.92 8.49386e-23
64.9057 7.42699e-23
70.2964 6.48422e-23
74.87 5.66113e-23
81.0983 4.95006e-23
87.8339 4.32171e-23
95.1289 3.87537e-23
102.937 3.48053e-23
111.488 3.20641e-23
120.748 2.95846e-23
130.659 2.87972e-23
141.529 2.80367e-23
153.283 2.80367e-23
166.014 2.87972e-23
179.641 2.95846e-23
194.561 3.12181e-23
210.724 3.29339e-23
228.017 3.48053e-23
246.989 3.6726e-23
267.503 3.9805e-23
289.72 4.20669e-23
313.501 4.5602e-23
339.539 4.95006e-23
367.745 5.22323e-23
397.924 5.66113e-23
431.033 6.14495e-23
466.833 6.66152e-23
505.605 7.23084e-23
547.107 7.83684e-23
592.547 8.26953e-23
641.77 8.97651e-23
694.438 9.73087e-23
752.219 1.05628e-22
814.694 1.1448e-22
882.358 1.24075e-22
954.784 1.3471e-22
1034.08 1.46004e-22
1119.97 1.58482e-22
1211.9 1.71805e-22
1312.74 1.86488e-22
1421.76 2.02117e-22
1539.85 2.19062e-22
1666.24 2.3784e-22
1804.63 2.50965e-22
1954.51 2.72421e-22
2114.95 2.95252e-22
2290.92 3.19997e-22
2481.19 3.47427e-22
2687.27 3.76545e-22
2907.85 4.08736e-22
