# noise power spectrum for initial LIGO detectors
# data format:  f (Hz)  sqrt(P(f)) (strain/rHz)
#
0.000000   4.09287e-12
0.100000   4.09287e-12
0.200000   4.09287e-12
0.300000   4.09287e-12
0.400000   4.09287e-12
0.500000   4.09287e-12
0.600000   4.09287e-12
0.700000   4.09287e-12
0.800000   4.09287e-12
0.900000   4.09287e-12
1.000000   4.09287e-12
1.010000   2.33066e-13
1.020000   2.29158e-13
1.030000   2.25356e-13
1.040000   2.21656e-13
1.050000   2.18054e-13
1.060000   2.1455e-13
1.070000   2.11138e-13
1.080000   2.07818e-13
1.090000   2.04588e-13
1.100000   2.01444e-13
1.110000   1.98385e-13
1.120000   1.95409e-13
1.130000   1.92513e-13
1.140000   1.89696e-13
1.150000   1.86956e-13
1.160000   1.84292e-13
1.170000   1.81701e-13
1.180000   1.79183e-13
1.190000   1.76741e-13
1.200000   1.74328e-13
1.210000   1.72028e-13
1.220000   1.69785e-13
1.240000   1.67605e-13
1.250000   1.65488e-13
1.260000   1.63434e-13
1.270000   1.61441e-13
1.280000   1.59509e-13
1.290000   1.57637e-13
1.310000   1.55823e-13
1.320000   1.54068e-13
1.330000   1.5237e-13
1.340000   1.50729e-13
1.360000   1.49144e-13
1.370000   1.47614e-13
1.380000   1.4614e-13
1.390000   1.4472e-13
1.410000   1.43354e-13
1.420000   1.42042e-13
1.430000   1.40784e-13
1.450000   1.39579e-13
1.460000   1.38428e-13
1.470000   1.3733e-13
1.490000   1.36285e-13
1.500000   1.35295e-13
1.510000   1.34358e-13
1.530000   1.33475e-13
1.540000   1.32647e-13
1.560000   1.31874e-13
1.570000   1.31157e-13
1.580000   1.30496e-13
1.600000   1.29893e-13
1.610000   1.29348e-13
1.630000   1.28862e-13
1.640000   1.28438e-13
1.660000   1.28075e-13
1.670000   1.27777e-13
1.690000   1.27545e-13
1.710000   1.2738e-13
1.720000   1.27286e-13
1.740000   1.27265e-13
1.750000   1.2732e-13
1.770000   1.27454e-13
1.790000   1.27671e-13
1.800000   1.27974e-13
1.820000   1.28369e-13
1.840000   1.2886e-13
1.850000   1.29453e-13
1.870000   1.30155e-13
1.890000   1.30971e-13
1.910000   1.31912e-13
1.920000   1.32984e-13
1.940000   1.34199e-13
1.960000   1.35567e-13
1.980000   1.37103e-13
2.000000   1.3882e-13
2.010000   1.40736e-13
2.030000   1.42871e-13
2.050000   1.45246e-13
2.070000   1.47888e-13
2.090000   1.50829e-13
2.110000   1.54103e-13
2.130000   1.57754e-13
2.150000   1.61833e-13
2.170000   1.66401e-13
2.190000   1.71532e-13
2.210000   1.77318e-13
2.230000   1.83873e-13
2.250000   1.91342e-13
2.270000   1.99909e-13
2.290000   2.0982e-13
2.310000   2.21404e-13
2.330000   2.35116e-13
2.360000   2.5162e-13
2.380000   2.7192e-13
2.400000   2.97636e-13
2.420000   3.31566e-13
2.440000   3.78842e-13
2.470000   4.48352e-13
2.490000   5.43966e-13
2.510000   6.11126e-13
2.540000   6.22956e-13
2.560000   6.83882e-13
2.580000   8.32302e-13
2.610000   1.09299e-12
2.630000   1.43909e-12
2.650000   1.4916e-12
2.680000   1.13624e-12
2.700000   8.20058e-13
2.730000   6.18592e-13
2.750000   4.8914e-13
2.780000   4.01226e-13
2.810000   3.38334e-13
2.830000   2.91392e-13
2.860000   2.55152e-13
2.880000   2.26402e-13
2.910000   2.03088e-13
2.940000   1.83835e-13
2.960000   1.67693e-13
2.990000   1.53984e-13
3.020000   1.42215e-13
3.050000   1.32016e-13
3.080000   1.23106e-13
3.100000   1.15267e-13
3.130000   1.08327e-13
3.160000   1.0215e-13
3.190000   9.6627e-14
3.220000   9.16672e-14
3.250000   8.71974e-14
3.280000   8.31568e-14
3.310000   7.9494e-14
3.340000   7.61664e-14
3.370000   7.31378e-14
3.400000   7.03772e-14
3.440000   6.78584e-14
3.470000   6.5559e-14
3.500000   6.34594e-14
3.530000   6.15432e-14
3.560000   5.97962e-14
3.600000   5.8206e-14
3.630000   5.6762e-14
3.660000   5.54556e-14
3.700000   5.42792e-14
3.730000   5.32266e-14
3.770000   5.2293e-14
3.800000   5.14744e-14
3.840000   5.07684e-14
3.870000   5.0173e-14
3.910000   4.96882e-14
3.940000   4.93146e-14
3.980000   4.9054e-14
4.020000   4.89102e-14
4.060000   4.8888e-14
4.090000   4.89942e-14
4.130000   4.9238e-14
4.170000   4.96308e-14
4.210000   5.01874e-14
4.250000   5.09268e-14
4.290000   5.18722e-14
4.330000   5.30542e-14
4.370000   5.4511e-14
4.410000   5.62928e-14
4.450000   5.84646e-14
4.490000   6.11126e-14
4.530000   6.4354e-14
4.570000   6.83492e-14
4.610000   7.33256e-14
4.660000   7.96138e-14
4.700000   8.77114e-14
4.740000   9.83982e-14
4.790000   1.12953e-13
4.830000   1.33578e-13
4.880000   1.64214e-13
4.920000   2.11604e-13
4.970000   2.81284e-13
5.010000   3.3654e-13
5.060000   2.92454e-13
5.110000   2.13482e-13
5.150000   1.57741e-13
5.200000   1.22259e-13
5.250000   9.88356e-14
5.300000   8.257e-14
5.350000   7.07726e-14
5.400000   6.19148e-14
5.450000   5.50816e-14
5.500000   4.96998e-14
5.550000   4.53956e-14
5.600000   4.1913e-14
5.650000   3.90738e-14
5.700000   3.67502e-14
5.750000   3.48498e-14
5.810000   3.33038e-14
5.860000   3.20618e-14
5.920000   3.10862e-14
5.970000   3.035e-14
6.030000   2.98346e-14
6.080000   2.95288e-14
6.140000   2.9428e-14
6.190000   2.95348e-14
6.250000   2.98586e-14
6.310000   3.04178e-14
